gender,race,age,income,loan_amount,credit_score,approved
male,group_a,39,75711.64,25628.35,707.1,1
male,group_a,35,78985.82,22322.49,661.6,0
female,group_c,49,86073.3,5273.5,751.5,0
male,group_a,62,68244.38,20052.43,679.6,0
female,group_a,42,50592.47,23726.99,659.0,1
female,group_a,39,51784.72,20419.09,688.9,1
female,group_b,56,71683.41,24725.45,668.0,0
female,group_a,44,73037.1,12878.17,633.2,1
female,group_b,35,88562.97,9868.76,651.9,0
male,group_a,61,69950.18,23975.53,732.5,0
male,group_a,49,82143.2,9009.01,725.3,0
male,group_b,51,90818.65,1000.0,770.0,0
male,group_a,58,65131.21,24689.75,561.5,1
male,group_b,25,33774.39,11568.61,652.5,1
female,group_a,60,39593.74,14704.5,651.0,0
male,group_a,27,34681.75,6515.15,692.0,0
female,group_c,21,92240.22,7058.54,648.3,1
male,group_a,66,45899.24,8325.58,644.1,0
female,group_c,33,85404.99,14295.13,734.8,1
female,group_c,22,73128.91,19774.99,692.5,0
male,group_b,53,94590.11,1000.0,598.4,0
female,group_a,34,81058.78,22641.3,773.4,0
female,group_b,40,60054.97,8135.01,749.8,0
female,group_b,65,58199.42,9002.66,639.8,0
female,group_b,47,63618.19,22083.92,738.2,0
male,group_a,21,65329.96,16440.25,628.5,1
male,group_c,52,51915.87,5476.75,758.8,0
female,group_c,28,61380.06,30834.45,664.8,0
female,group_a,35,92577.08,10545.34,623.8,1
male,group_a,30,29659.37,18854.87,653.9,0
female,group_a,63,66911.27,18499.18,626.4,0
female,group_c,24,44767.9,27584.95,693.4,0
female,group_c,45,65553.7,13582.48,692.3,0
male,group_c,42,77957.26,24560.67,682.5,0
male,group_b,46,60905.41,11435.83,641.0,0
male,group_b,48,76686.75,25415.97,423.7,1
male,group_b,25,31793.05,11277.62,686.5,0
female,group_b,35,83032.79,14283.43,547.3,0
male,group_c,47,50540.54,31219.75,697.1,0
female,group_b,25,73825.75,19377.29,759.2,1
male,group_a,58,65466.51,17823.19,699.2,0
female,group_b,58,15000.0,33815.37,652.7,0
male,group_a,45,47634.78,19710.18,667.4,0
male,group_b,58,66189.66,10878.97,670.7,1
male,group_b,40,91525.55,22509.71,641.6,0
male,group_a,46,67458.1,8137.39,639.1,0
female,group_c,42,66896.22,25462.37,615.3,0
female,group_b,27,35159.0,26044.83,763.2,1
male,group_a,29,89191.79,12702.81,678.9,1
female,group_a,45,96334.46,12290.74,746.9,1
female,group_a,24,62542.93,18323.78,662.5,1
male,group_a,49,57824.62,17106.16,685.1,1
female,group_a,35,31238.06,9667.34,668.1,0
female,group_a,40,78783.1,21260.66,712.4,0
male,group_c,62,113343.31,1685.93,737.9,1
female,group_a,60,75625.15,13753.55,696.8,1
female,group_c,42,86010.37,13970.44,632.8,0
female,group_b,38,72299.66,14950.51,625.4,0
male,group_c,58,43284.7,19304.18,796.1,0
female,group_a,44,87396.78,7789.83,660.4,1
male,group_a,54,38543.08,21413.86,659.6,1
female,group_b,26,57997.37,15648.84,782.6,0
female,group_a,53,67298.18,12123.38,756.2,0
male,group_a,46,78775.28,6748.8,717.4,1
male,group_b,30,69903.73,8126.68,652.0,0
female,group_b,56,69349.86,19702.44,844.7,0
male,group_a,45,47531.73,9771.13,707.5,1
female,group_a,54,37501.94,17481.49,718.3,0
female,group_c,59,63168.13,24964.87,668.0,0
female,group_a,32,48506.3,24744.82,581.0,1
female,group_b,58,37152.07,28702.98,586.6,0
male,group_a,66,37947.02,14777.8,708.5,1
male,group_c,44,52687.56,8861.38,707.4,1
male,group_a,54,26801.0,24653.94,663.2,0
male,group_b,56,36398.09,19322.03,598.0,1
male,group_a,40,30932.4,25429.63,579.1,0
female,group_b,58,65462.93,17082.92,657.1,0
female,group_c,40,69751.7,25967.35,578.1,0
male,group_a,61,100135.68,23347.91,742.9,1
male,group_a,56,33546.93,22373.16,760.7,0
female,group_b,45,49087.66,20776.42,850.0,0
male,group_b,29,79339.62,19982.74,741.5,0
nan,group_a,59,57881.3,18747.77,638.5,0
female,group_b,50,55787.04,18694.3,619.0,0
female,group_b,47,94474.22,24426.46,438.4,1
female,group_c,54,55570.28,13160.15,638.4,1
female,group_a,66,40032.3,30017.64,667.6,1
female,group_b,44,36978.14,16203.18,747.7,1
male,group_b,38,68378.19,24390.37,722.8,1
female,group_b,61,67799.59,16323.19,721.2,1
male,group_a,50,35937.65,15150.01,695.0,0
female,group_b,42,43277.47,32241.81,726.3,0
male,group_b,29,72159.54,14679.91,781.3,1
male,group_a,42,72968.07,7420.87,605.5,0
female,group_a,64,49778.78,11644.38,648.0,0
female,group_c,34,73822.11,14620.79,582.8,0
male,group_b,65,72865.24,33163.94,793.3,0
female,group_a,63,28121.45,18550.67,770.8,0
female,group_b,59,56070.79,24010.35,732.7,0
female,group_a,35,69887.39,9488.0,596.1,1
female,group_b,57,51111.56,19644.56,692.1,0
female,group_c,52,21360.29,22036.09,663.6,1
male,group_a,62,56622.72,30512.2,685.7,1
male,group_a,39,76289.77,11777.97,666.8,1
male,group_a,49,92027.71,21526.17,716.4,1
male,group_a,64,20375.13,19269.38,652.4,1
male,group_a,63,111653.11,9337.14,739.8,1
female,group_a,64,40584.41,16854.08,696.9,0
female,group_a,25,80182.45,15023.94,659.5,0
male,group_a,22,85449.76,1000.0,672.2,0
female,group_b,25,80677.33,21490.02,649.2,0
male,group_a,66,64842.75,21051.83,737.0,1
female,group_b,40,39933.06,13707.99,661.0,0
female,group_c,48,73904.62,6960.79,700.6,1
male,group_a,40,48410.57,28099.11,652.5,1
female,group_b,24,15000.0,18994.99,576.0,0
male,group_b,62,115749.07,24625.26,743.4,0
female,group_a,43,75453.94,27577.41,605.9,0
female,group_a,35,96543.47,13093.2,727.5,1
male,group_c,23,44679.17,23091.16,709.4,1
male,group_b,26,89882.55,15191.38,564.1,1
male,group_c,46,92207.51,16530.89,613.9,0
female,group_a,56,91536.44,16357.88,644.0,1
female,group_b,29,61597.08,16990.11,622.5,0
female,group_c,45,39153.22,25354.7,597.3,0
male,group_c,37,58631.06,17928.71,731.8,0
female,group_a,51,20147.39,15847.0,663.2,0
female,group_b,35,29661.76,14925.97,707.0,1
female,group_a,61,63746.84,19559.86,649.9,0
female,group_b,48,43163.43,10288.49,701.4,0
female,group_a,29,58875.51,13230.06,627.4,1
male,group_a,58,59929.0,16607.9,678.1,0
male,group_c,50,98683.81,12756.14,720.7,0
male,group_b,64,86654.9,16111.43,683.2,0
male,group_b,63,61147.42,12419.17,648.0,1
male,group_c,36,84969.09,32029.68,603.9,1
male,group_a,52,47185.45,26967.96,691.7,0
female,group_a,47,55598.96,20374.64,704.1,0
male,group_a,40,79294.26,16597.86,661.9,0
female,group_a,21,38408.45,33430.73,626.1,0
male,group_a,58,56699.37,19422.15,718.0,0
female,group_b,38,36903.93,16348.66,850.0,1
male,group_c,24,64231.98,19273.45,658.8,0
male,group_b,65,93017.8,19294.57,703.6,1
female,group_b,39,47710.16,27577.38,706.4,1
female,group_a,26,66291.71,16857.76,500.3,0
female,group_b,41,44950.88,32744.94,688.7,0
female,group_b,61,40158.57,10384.84,630.5,1
female,group_b,55,38518.86,22205.38,776.9,0
male,group_c,51,89640.29,9486.3,662.2,0
female,group_b,34,106886.27,30628.26,625.6,0
male,group_a,34,71177.83,14520.76,664.7,1
female,group_b,33,48390.43,16563.58,691.7,0
female,group_b,56,75392.94,23931.78,640.8,0
female,group_a,58,55647.85,26415.06,676.3,0
male,group_b,34,77226.57,8660.92,585.2,1
male,group_c,34,67528.88,14403.81,664.2,1
male,group_a,62,67314.38,6538.08,734.3,0
male,group_b,65,73538.25,18029.79,817.8,1
female,group_b,24,50989.62,16239.71,729.5,0
female,group_a,32,54317.01,14382.99,699.0,0
male,group_a,26,29296.33,11866.54,762.9,1
female,group_a,37,53604.48,14105.7,751.3,0
female,group_b,55,34975.68,11402.03,796.5,1
male,group_b,47,59251.06,20967.21,755.8,0
female,group_b,41,43805.01,28369.63,671.7,1
female,group_a,30,63923.45,2519.57,698.1,1
male,group_c,27,70611.55,16130.24,692.5,1
female,group_c,55,35017.67,13863.71,701.1,1
female,group_a,44,46547.7,20692.76,694.0,0
female,group_a,21,44077.07,9861.75,625.2,1
male,group_a,34,76183.38,15901.73,532.7,0
female,group_c,52,94420.88,9203.06,633.0,1
female,group_c,46,78179.2,22225.23,538.2,1
female,group_a,54,55361.04,17744.56,684.8,0
female,group_a,55,89835.12,15788.94,680.3,1
male,group_a,26,33231.95,19776.41,562.7,0
female,group_b,60,90487.8,15151.38,728.2,0
female,group_c,48,49531.93,5346.34,740.7,0
female,group_a,23,15000.0,21467.98,686.7,0
male,group_a,65,112365.29,19162.03,796.7,1
male,group_b,48,91982.44,15844.4,811.0,0
female,group_b,31,42394.21,24386.94,595.6,0
male,group_b,66,65211.16,26138.72,752.6,1
female,group_a,22,57924.51,8807.88,710.9,0
female,group_a,42,63942.2,11141.93,709.3,0
male,group_a,22,33817.56,28604.64,745.4,1
male,group_c,56,49051.61,27641.39,629.7,0
male,group_b,56,70891.26,11462.05,638.5,1
female,group_a,25,66231.23,8144.67,622.1,0
male,group_c,34,84785.53,12218.24,627.2,0
male,group_a,61,63515.25,13264.13,673.1,0
male,group_b,33,106635.21,5119.51,578.4,0
female,group_a,47,48401.1,17233.75,606.8,0
female,group_c,46,66927.32,7398.66,720.4,0
male,group_a,61,25589.96,7922.08,675.0,1
male,group_b,55,38190.47,23870.8,706.8,0
female,group_b,57,87241.99,11876.08,547.8,0
male,group_b,25,44086.75,16463.97,625.1,0
male,group_a,60,72082.83,21718.22,641.1,0
male,group_a,41,60826.35,23099.18,682.3,0
male,group_a,23,42153.57,14472.35,639.0,0
male,group_a,25,55383.26,17330.88,745.3,1
female,group_a,53,52229.56,10809.46,675.9,0
female,group_a,61,52740.05,30105.35,681.2,0
male,group_b,30,76318.56,21874.62,680.9,1
male,group_a,34,74394.55,8725.7,729.6,1
female,group_b,33,51028.91,17030.43,647.0,1
male,group_a,62,44765.05,22351.64,758.6,1
male,group_a,35,67364.41,20595.58,712.2,0
male,group_a,50,60099.71,30718.78,690.8,0
male,group_b,48,81537.37,27292.39,682.9,1
female,group_a,39,112450.58,12955.2,716.4,1
male,group_a,49,78015.56,16331.15,751.1,0
male,group_b,30,61340.12,7388.44,746.2,1
female,group_a,63,58731.16,18870.9,706.3,1
female,group_c,63,45722.81,18132.66,741.4,0
male,group_c,21,44773.22,37276.12,688.3,1
male,group_a,43,42935.11,17731.81,767.7,0
female,group_b,29,54488.63,1300.61,678.1,0
male,group_a,41,53884.27,11959.35,534.7,0
female,group_a,37,76130.88,17842.62,773.7,1
male,group_a,61,54419.02,7579.89,687.5,1
female,group_b,58,58248.46,10495.94,598.0,0
female,group_c,34,38852.79,14257.73,666.1,0
female,group_a,46,93246.94,19563.59,618.1,1
female,group_b,39,71632.74,15759.93,827.0,1
male,group_b,44,95988.59,10330.76,714.8,1
male,group_a,62,77140.83,22907.61,570.2,1
female,group_c,55,90303.08,12952.72,718.2,0
female,group_b,23,57278.74,13255.18,652.1,0
male,group_a,51,75626.06,6652.61,814.2,0
male,group_c,56,113404.62,11104.88,606.3,1
female,group_a,34,38752.85,21888.29,522.7,1
female,group_a,55,84349.11,4867.59,684.6,0
female,group_a,25,94260.94,16466.2,655.6,1
male,group_c,25,70001.42,22382.94,650.8,1
male,group_a,42,76539.04,14171.69,530.1,0
female,group_c,40,86313.05,18798.43,709.9,0
female,group_b,61,49264.39,8624.04,797.1,1
female,group_a,58,69930.82,26827.08,546.4,0
nan,group_b,48,45127.91,25257.88,762.0,0
female,group_b,46,48866.31,18766.24,640.2,1
female,group_b,23,50000.31,3836.91,844.4,0
female,group_b,29,59220.9,9155.28,710.5,0
male,group_b,41,64845.74,24325.27,666.9,0
female,group_c,40,70797.63,29848.41,757.4,1
male,group_a,38,34432.73,19224.62,716.8,1
female,group_c,44,100508.73,26354.89,638.5,0
female,group_a,47,84487.05,12441.79,729.7,0
female,group_b,38,76127.69,15579.6,644.3,0
male,group_c,48,55035.92,17008.61,554.8,1
male,group_c,25,60265.17,20173.23,822.2,0
male,group_a,64,72662.16,5533.93,655.5,1
male,group_b,44,70007.36,24055.0,637.4,1
female,group_c,36,29299.81,26919.1,703.7,1
female,group_c,41,76426.31,8384.49,570.8,0
male,group_a,39,118776.7,6834.95,585.2,0
female,group_c,34,26027.49,19629.2,645.0,0
female,group_a,49,81373.87,12092.66,643.6,1
male,group_a,61,69191.54,1000.0,685.0,0
female,group_b,61,59826.11,23064.38,758.6,0
female,group_b,28,88733.3,18166.96,646.8,0
male,group_a,53,38941.67,13425.15,714.5,1
male,group_a,55,65174.8,32850.83,722.1,0
female,group_a,42,90537.14,18041.78,604.1,0
nan,group_a,52,58160.13,11349.27,696.0,0
male,group_a,58,53844.0,17758.64,614.0,1
female,group_b,25,64241.57,9199.48,754.5,0
female,group_b,43,53321.65,11287.2,711.9,1
female,group_b,22,92194.21,19897.72,681.2,1
male,group_c,65,44294.89,12843.51,586.2,0
male,group_a,45,79041.69,13617.69,688.1,1
nan,group_a,33,37553.01,29517.09,626.3,0
male,group_a,23,75063.88,23447.37,729.4,1
male,group_a,26,59951.81,23021.19,671.6,0
female,group_b,33,15000.0,20966.13,623.1,0
male,group_a,59,61883.28,20631.51,744.8,1
female,group_a,66,41161.11,27924.39,730.5,0
male,group_b,34,53321.15,16853.41,638.5,0
female,group_a,36,92049.48,30916.36,761.3,1
male,group_a,59,40176.96,9864.49,659.1,0
female,group_b,25,41290.94,15087.22,658.4,0
male,group_b,49,90136.77,6660.53,688.7,1
male,group_a,48,64264.74,14421.7,627.3,0
male,group_b,44,92109.89,20888.32,649.1,0
male,group_a,59,68319.54,27884.35,668.8,0
male,group_a,25,44765.77,12025.04,787.1,1
female,group_b,34,60704.82,17039.78,785.0,0
male,group_a,57,86018.44,14305.92,661.9,1
male,group_a,34,80382.6,11460.5,792.7,0
nan,group_b,24,62017.32,8079.65,677.0,0
female,group_b,42,62952.73,17454.96,706.6,1
female,group_a,65,59801.69,4009.51,741.9,0
male,group_b,57,50701.32,17829.07,700.4,0
male,group_a,61,99731.72,17157.14,849.1,0
male,group_c,34,62140.47,12066.87,697.0,0
male,group_a,34,39904.73,9418.22,596.2,0
male,group_a,28,52682.07,6617.7,771.4,1
female,group_a,26,76189.58,31034.96,651.2,1
male,group_c,33,74531.63,6935.21,658.7,1
male,group_a,61,59321.02,28682.77,470.6,0
female,group_b,52,48942.12,21501.24,750.1,0
male,group_c,43,62467.06,14269.84,737.3,0
male,group_c,42,29306.94,8321.92,735.9,0
female,group_a,26,36569.58,24818.7,748.5,0
male,group_b,43,77606.59,29972.38,798.4,0
female,group_b,43,52637.39,9994.82,676.8,0
male,group_b,56,69324.19,14759.41,745.6,1
female,group_a,32,85799.26,24887.18,627.9,1
female,group_a,60,74690.34,19518.38,655.2,0
female,group_a,39,62402.6,31999.71,754.0,1
male,group_a,23,103571.66,12723.92,707.4,0
female,group_b,50,75043.48,21067.18,586.7,1
female,group_a,48,55075.25,7618.04,705.3,0
male,group_a,63,76301.24,32719.19,667.2,1
male,group_a,46,69967.58,11522.44,622.7,0
male,group_a,57,45280.27,1000.0,710.4,0
female,group_a,32,63425.29,16056.77,651.7,1
female,group_c,28,58777.14,15954.27,570.1,0
male,group_a,50,23590.51,31366.79,602.2,0
female,group_a,42,58632.22,14458.85,803.8,1
male,group_b,57,56469.95,16905.17,574.0,0
female,group_a,43,53437.85,21450.79,695.6,0
female,group_a,57,29869.16,28897.03,722.7,1
female,group_c,66,55071.65,16525.78,724.7,0
male,group_c,65,61224.76,24796.08,594.2,0
male,group_b,24,63991.12,20885.63,657.5,1
female,group_a,65,39820.17,14778.23,689.9,0
male,group_a,44,74354.31,17581.66,736.0,1
male,group_a,38,38256.24,17215.05,634.9,1
male,group_a,63,57629.22,10129.82,598.6,0
female,group_a,28,87491.52,26102.61,750.2,1
female,group_a,39,48476.61,6607.85,757.4,1
female,group_b,59,52024.97,25783.77,705.9,1
female,group_a,33,82963.71,24158.14,637.4,0
female,group_a,64,54500.44,16302.13,708.5,0
female,group_c,46,56200.13,11259.17,687.7,1
female,group_a,44,66319.82,15301.81,738.6,1
female,group_a,35,82489.96,20545.81,592.6,0
male,group_a,26,18972.11,22572.94,688.1,0
male,group_b,63,45827.75,19151.89,668.9,0
female,group_b,21,42336.64,24441.02,602.3,0
male,group_b,24,40826.14,12819.24,695.1,0
female,group_b,24,45322.11,18759.32,682.4,0
female,group_a,30,45630.58,5237.41,651.3,0
male,group_a,54,67875.1,22727.2,707.7,0
female,group_b,24,44669.57,18148.82,580.7,0
male,group_c,27,64386.1,13883.19,676.2,0
female,group_c,53,69816.99,25711.57,710.2,0
male,group_b,22,47786.99,22186.45,699.9,0
female,group_b,34,64543.65,1000.0,755.3,1
female,group_a,59,93872.86,17299.12,595.9,0
female,group_c,62,68271.03,6087.32,574.4,0
male,group_a,43,49593.39,24999.95,696.7,1
female,group_a,62,60736.11,35668.06,711.9,1
female,group_b,61,44179.1,13111.0,828.4,1
female,group_c,64,67265.59,17559.34,723.2,1
female,group_b,32,78766.53,15117.25,618.8,0
male,group_b,32,46079.06,19631.1,736.4,0
male,group_a,51,57935.07,21834.12,620.8,0
female,group_a,21,83608.63,26653.95,576.0,1
female,group_c,33,52338.77,9594.34,850.0,1
male,group_c,38,65649.95,28787.26,702.8,0
female,group_a,61,42123.51,10013.65,730.0,1
male,group_c,65,46101.07,19078.17,719.4,1
female,group_a,36,52054.2,25689.32,806.8,1
female,group_a,56,103350.08,22348.99,699.9,0
male,group_b,46,54228.05,9960.69,765.2,0
female,group_a,23,51930.78,11735.57,608.1,0
male,group_a,39,51299.32,13532.52,582.5,1
female,group_a,53,58853.56,16616.23,779.9,1
male,group_b,53,74462.67,25602.15,783.2,0
male,group_b,63,65600.32,7311.41,715.8,1
female,group_c,49,101098.48,20500.26,695.8,1
female,group_c,65,66062.09,21574.79,691.6,0
female,group_a,41,89500.68,21187.17,631.8,1
male,group_a,53,67257.51,20497.3,787.7,0
female,group_c,49,73506.05,28387.39,726.1,1
female,group_b,60,34571.6,20658.56,715.4,0
female,group_a,63,59585.87,23427.19,706.3,1
male,group_a,59,60689.99,21226.6,753.4,1
male,group_c,64,57383.82,30448.35,715.4,0
female,group_b,37,21095.31,2751.46,732.2,1
female,group_a,66,78731.86,26615.81,598.2,1
male,group_b,25,54644.14,15042.27,715.7,0
female,group_b,37,53676.64,14894.62,833.1,0
male,group_a,54,57151.74,9728.92,643.7,0
male,group_c,49,57666.5,2984.78,671.0,0
female,group_c,27,69734.87,14135.79,742.4,1
male,group_a,52,37850.39,11845.3,747.0,1
male,group_a,38,44310.2,20706.3,723.7,0
female,group_a,57,67522.03,5958.03,566.8,0
female,group_c,66,64766.07,27737.1,715.1,0
female,group_b,30,54843.56,19039.5,597.1,0
female,group_b,46,51095.66,15140.73,622.3,0
male,group_b,22,46145.93,11679.32,718.4,0
female,group_a,45,60891.25,11095.95,659.3,0
female,group_c,59,84433.92,8524.35,736.7,0
female,group_a,64,41897.04,12917.29,850.0,1
female,group_b,57,90943.04,17045.38,734.4,0
male,group_a,34,78035.65,15669.77,730.6,1
female,group_b,38,53393.69,6391.34,617.3,0
male,group_c,66,76878.42,15006.29,635.0,1
female,group_b,57,34147.84,10301.13,605.5,1
male,group_a,62,29100.08,18199.12,642.7,1
male,group_a,32,37494.14,30984.89,603.6,0
female,group_b,37,54214.82,21687.67,633.8,1
female,group_a,58,55817.21,14651.6,665.4,0
male,group_a,36,52212.29,4813.38,610.0,0
female,group_a,55,63889.03,6389.57,580.7,0
male,group_b,26,21432.08,4349.58,584.7,0
female,group_a,23,71411.64,22444.76,711.8,1
female,group_b,63,35033.29,11261.98,684.2,0
male,group_a,34,49443.84,17469.5,751.8,1
female,group_b,29,54155.84,12334.89,753.1,1
male,group_a,32,40032.0,17683.97,656.2,1
male,group_c,21,35951.01,27512.58,726.9,0
female,group_c,55,42884.45,11862.91,579.2,0
female,group_b,61,61773.45,14442.83,839.8,0
female,group_b,21,73209.66,10952.42,763.7,1
female,group_c,48,72720.47,23559.31,664.9,0
female,group_a,37,43104.67,9307.12,598.6,0
female,group_c,51,46960.03,8502.63,706.6,0
male,group_a,53,44508.54,6592.53,549.1,0
male,group_b,54,70546.43,6436.45,625.4,0
male,group_a,23,23289.02,20531.71,732.4,0
male,group_b,22,85528.45,36268.44,685.3,1
male,group_c,64,52788.71,9534.68,645.6,0
nan,group_a,25,47113.03,24136.59,746.6,1
male,group_c,44,68449.62,18883.3,607.3,1
male,group_b,43,81619.76,8734.83,699.9,0
male,group_a,38,68509.08,14924.75,645.1,1
female,group_a,23,82002.14,15253.12,620.7,0
female,group_a,28,64552.82,11819.74,712.4,0
female,group_a,44,85363.13,31479.55,610.5,1
male,group_b,26,85658.04,2704.1,813.1,0
male,group_a,54,60109.9,19857.77,639.1,0
female,group_b,60,89344.91,19486.43,819.3,0
female,group_c,51,65129.94,12652.88,603.4,0
female,group_c,59,63650.97,18121.27,722.4,0
male,group_c,49,44492.0,23582.04,596.0,0
female,group_c,52,56513.18,18145.51,586.1,0
male,group_a,23,76774.07,20129.94,691.2,0
female,group_c,46,37059.71,22196.84,727.4,0
male,group_a,31,74342.86,1759.58,590.8,0
