age,gender,ethnicity,years_experience,university_tier,skills_score,interview_score,hired
37,male,group_a,6.9,1,74.33,63.21,1
37,female,group_a,5.6,2,70.37,51.29,0
39,male,group_a,6.5,1,68.92,66.84,1
43,non-binary,group_c,5.7,2,82.19,77.16,0
28,female,group_b,6.7,1,56.82,66.95,0
43,female,group_a,3.0,2,96.05,81.78,0
43,female,group_c,3.9,3,63.13,60.67,0
32,female,group_a,7.4,2,57.47,79.82,0
30,male,group_a,4.7,2,79.31,90.49,1
48,male,group_a,0.0,1,82.8,53.82,1
40,male,group_a,6.1,3,84.92,55.59,1
45,male,group_a,0.0,1,87.42,76.74,1
40,male,group_b,11.2,3,75.65,100.0,1
37,non-binary,group_b,7.8,1,70.7,74.75,1
46,male,group_c,7.7,2,74.46,67.33,1
24,female,group_a,3.8,2,69.9,85.93,1
52,male,group_c,2.4,2,63.43,66.12,1
45,female,group_b,5.1,3,89.2,45.17,1
52,female,group_a,5.8,3,91.76,54.41,1
27,male,group_a,3.5,1,70.05,86.49,1
38,female,group_b,6.2,2,67.2,44.26,0
39,non-binary,group_a,7.7,3,64.07,47.87,0
30,female,group_a,7.4,2,49.77,79.12,0
43,female,group_b,2.7,3,61.84,69.77,0
29,male,group_a,0.0,2,63.78,84.55,1
42,male,group_a,5.7,1,69.74,52.94,0
47,female,group_a,3.8,1,57.97,57.46,0
50,female,group_c,7.0,2,47.16,62.86,0
47,male,group_a,10.5,2,77.83,50.47,0
37,female,group_a,10.5,2,90.66,64.45,1
48,female,group_c,6.6,2,44.45,65.31,0
40,female,group_a,8.9,2,68.35,79.77,0
49,male,group_b,10.5,1,80.28,66.49,1
44,male,group_a,5.9,2,56.01,62.12,1
40,male,group_b,6.5,2,52.78,74.6,1
42,male,group_b,8.2,2,70.42,83.14,1
51,female,group_b,5.6,1,67.22,82.2,1
54,male,group_a,4.3,1,62.38,71.56,0
43,female,group_a,3.6,1,89.75,62.4,1
22,male,group_b,5.8,3,88.02,61.11,1
42,female,group_c,4.0,3,77.91,49.47,1
40,male,group_a,8.0,2,69.26,68.65,1
49,male,group_a,4.8,2,66.16,67.36,1
48,male,group_a,9.9,3,80.7,90.67,1
43,male,group_c,9.2,1,67.3,70.74,0
29,non-binary,group_a,2.2,2,87.99,78.11,0
47,female,group_a,8.9,1,85.11,85.94,1
26,male,group_a,4.6,1,62.9,41.64,1
52,female,group_c,9.7,1,79.31,58.7,1
31,female,group_a,7.2,2,89.01,64.41,1
35,male,group_b,5.6,3,78.08,69.38,0
41,female,group_b,7.7,3,58.89,51.88,1
46,female,group_a,4.2,1,67.04,79.67,0
24,male,group_b,6.7,1,66.19,80.32,1
31,female,group_a,6.9,2,71.75,74.71,0
35,female,group_a,5.3,1,70.69,77.2,0
38,female,group_a,6.9,2,66.1,52.39,0
37,male,group_a,2.9,1,80.66,83.55,1
50,non-binary,group_a,7.4,3,86.62,59.18,0
41,male,group_a,2.3,1,63.63,41.39,1
54,female,group_a,7.6,3,52.71,69.43,1
47,female,group_c,7.1,3,74.9,73.6,0
53,male,group_a,7.8,2,70.53,58.17,1
42,male,group_a,4.2,1,75.55,44.59,1
47,female,group_b,14.5,1,62.3,51.65,0
40,male,group_a,5.1,2,74.03,65.58,1
49,female,group_a,6.2,1,59.62,32.29,0
30,female,group_a,3.6,3,83.65,82.03,0
51,female,group_b,9.9,3,90.76,81.66,1
36,female,group_a,4.5,2,59.44,65.19,0
42,male,group_c,8.6,1,39.45,82.47,1
28,male,group_b,3.1,1,64.77,65.4,1
30,male,group_a,6.7,1,64.35,51.85,1
33,male,group_c,4.8,3,73.03,76.52,1
22,male,group_a,8.5,1,70.95,75.52,0
49,non-binary,group_a,5.0,2,76.65,54.75,0
47,female,group_c,3.4,3,100.0,48.01,0
39,male,group_a,7.1,3,64.05,53.97,0
47,male,group_a,2.4,2,66.28,84.0,1
44,non-binary,group_a,3.1,2,75.97,63.45,0
46,male,group_b,8.0,1,48.58,100.0,0
33,non-binary,group_b,0.5,2,80.24,58.51,0
41,female,group_a,8.0,1,63.34,76.13,0
22,female,group_a,4.7,2,53.57,72.18,0
43,female,group_a,3.2,3,60.68,64.57,0
26,female,group_a,6.5,2,76.88,79.36,1
45,female,group_a,7.6,2,80.95,55.72,0
45,male,group_b,4.2,2,85.84,66.91,0
39,female,group_a,5.3,2,76.14,51.3,0
31,male,group_a,8.1,1,62.23,37.2,1
43,female,group_c,8.0,2,77.59,68.65,0
30,male,group_a,5.7,2,69.97,51.7,0
29,male,group_c,3.7,1,99.0,49.5,1
44,female,group_b,3.2,1,46.24,75.81,0
39,non-binary,group_b,4.2,3,90.31,65.41,0
27,male,group_a,7.8,2,80.22,73.08,1
42,female,group_b,7.5,2,75.89,91.85,1
47,female,group_a,6.7,2,69.9,70.21,0
40,female,group_a,9.8,3,64.27,74.02,1
33,female,group_c,5.0,1,59.45,51.05,0
30,non-binary,group_a,4.8,3,52.34,79.4,0
24,male,group_a,4.8,3,95.52,79.61,0
26,male,group_b,11.3,2,82.32,53.04,1
49,male,group_a,0.1,1,79.16,76.87,1
43,male,group_a,6.7,3,75.45,72.17,1
47,male,group_c,7.2,2,48.1,64.72,0
25,female,group_a,6.1,2,67.78,68.91,1
42,female,group_a,12.5,3,72.6,100.0,1
48,male,group_c,9.2,2,85.05,58.69,1
27,female,group_a,8.1,2,59.12,63.06,0
28,male,group_a,3.4,2,74.43,69.15,1
43,female,group_c,7.3,1,68.31,65.2,0
47,female,group_a,4.9,3,71.54,42.22,1
52,male,group_c,6.0,3,61.83,76.78,0
33,non-binary,group_b,6.5,1,75.54,80.61,1
31,male,group_b,4.6,2,72.18,91.93,1
51,female,group_a,7.7,2,48.78,59.85,0
40,female,group_a,10.5,2,85.8,50.11,1
29,male,group_b,8.9,1,97.61,76.9,1
24,male,group_b,6.5,1,60.71,53.37,1
27,male,group_a,0.5,1,85.06,67.7,0
53,female,group_a,9.0,2,59.52,62.09,1
44,female,group_a,9.0,2,64.93,70.39,0
47,female,group_a,5.4,2,92.42,61.49,0
47,male,group_a,4.6,1,73.71,77.52,0
41,female,group_a,7.8,2,89.51,54.87,0
33,female,group_b,3.7,1,74.85,100.0,0
30,female,group_a,8.2,1,83.49,78.66,1
37,female,group_a,2.9,2,69.37,58.99,0
46,female,group_a,3.4,1,88.58,54.25,0
43,male,group_a,6.0,1,92.85,65.13,1
37,male,group_a,1.8,3,79.55,61.18,1
31,male,group_c,6.0,3,64.63,56.19,0
49,male,group_a,7.5,2,67.01,87.29,1
34,male,group_a,2.2,1,60.11,81.36,1
27,male,group_b,8.6,1,78.72,52.61,1
40,female,group_c,4.4,3,77.72,75.6,0
25,male,group_b,7.5,2,63.1,67.97,1
31,female,group_b,6.6,2,82.5,78.55,0
31,male,group_a,4.7,3,64.57,58.53,1
26,female,group_a,4.5,1,93.34,97.6,1
43,male,group_a,1.2,3,81.42,68.87,0
51,male,group_b,4.0,1,90.61,95.71,0
29,non-binary,group_b,3.8,1,62.99,61.18,0
26,female,group_a,10.6,2,59.6,86.68,0
32,female,group_c,8.8,3,49.65,66.29,1
54,female,group_b,2.1,2,79.33,91.13,1
48,female,group_b,8.2,3,58.09,65.27,0
49,male,group_a,6.6,1,87.71,52.89,1
31,female,group_a,4.9,3,73.33,52.77,0
36,male,group_a,7.3,2,80.78,58.93,1
26,female,group_c,8.2,2,56.23,76.29,0
50,non-binary,group_b,4.4,2,64.52,73.08,0
42,female,group_c,5.2,1,73.84,69.5,0
24,male,group_b,6.4,2,80.49,82.7,1
46,male,group_b,3.2,1,56.21,90.77,0
40,male,group_a,6.5,1,75.77,53.78,1
23,male,group_b,5.8,2,61.74,81.92,0
33,female,group_a,4.1,2,81.39,100.0,0
41,female,group_b,3.6,3,68.94,59.21,0
31,male,group_a,6.8,1,68.1,59.94,0
28,female,group_c,8.4,3,76.9,73.53,1
51,female,group_c,6.9,1,85.53,71.09,0
53,male,group_a,3.6,1,68.78,60.35,1
23,female,group_b,8.1,2,86.35,66.89,1
23,female,group_b,6.5,3,59.73,90.41,0
50,male,group_a,7.7,3,75.07,80.7,1
31,female,group_a,9.3,1,58.28,56.59,0
24,female,group_a,3.5,2,74.23,43.98,0
37,female,group_b,5.6,3,60.75,52.41,0
44,male,group_c,4.3,1,72.09,70.42,0
33,female,group_b,3.5,2,79.12,56.91,0
31,female,group_a,11.6,3,60.11,56.12,0
33,female,group_a,8.6,1,50.68,78.0,0
39,female,group_a,1.0,2,69.57,63.93,0
33,male,group_a,7.2,3,77.9,62.56,0
52,female,group_a,4.4,1,74.43,70.92,0
47,female,group_a,9.2,1,60.78,88.22,1
48,female,group_a,6.2,2,81.64,72.21,0
30,male,group_a,5.5,1,68.18,77.58,1
25,male,group_b,6.4,3,80.8,69.07,1
52,female,group_c,7.1,2,61.07,89.61,0
32,male,group_a,6.1,1,76.9,50.75,1
38,female,group_b,5.4,1,85.69,52.22,0
38,non-binary,group_b,5.6,3,63.69,60.81,0
42,male,group_b,7.4,1,68.13,96.3,1
45,male,group_b,2.8,1,79.03,89.54,1
27,male,group_a,6.0,2,77.86,52.55,1
22,female,group_c,5.7,1,75.85,61.52,0
45,male,group_a,4.6,3,70.12,75.64,1
50,male,group_a,8.1,1,52.9,68.92,0
48,male,group_a,2.4,3,71.5,80.36,1
49,female,group_a,5.0,3,56.13,61.07,1
24,female,group_b,3.6,1,72.55,44.78,1
53,male,group_a,7.5,2,43.6,76.6,1
30,male,group_c,4.7,1,88.69,85.46,1
28,female,group_b,6.1,3,94.23,46.47,0
47,male,group_b,7.1,1,76.83,41.7,1
29,male,group_a,1.5,2,61.4,61.63,1
40,male,group_a,7.3,1,67.89,41.83,1
49,male,group_a,3.9,1,82.1,73.98,1
50,male,group_b,5.3,3,79.36,51.76,0
38,female,group_a,5.7,2,63.18,78.35,0
38,female,group_a,8.3,2,85.81,63.18,0
30,male,group_a,8.1,1,80.13,69.84,0
31,male,group_a,10.9,2,77.87,77.24,0
22,female,group_a,6.5,2,67.29,65.14,0
36,male,group_a,4.7,2,71.46,53.79,0
29,male,group_c,4.6,3,63.01,80.8,1
42,male,group_a,7.8,2,73.71,47.41,0
44,male,group_c,10.5,3,63.6,87.69,1
32,female,group_c,7.0,2,85.43,59.47,1
46,male,group_a,4.4,1,71.93,60.61,0
54,male,group_b,6.8,1,73.97,73.53,0
33,female,group_a,6.7,1,75.39,73.84,0
41,female,group_a,6.1,2,75.28,75.09,0
52,male,group_b,3.9,3,54.5,47.46,0
25,male,group_b,0.0,2,86.69,55.67,1
38,female,group_a,4.5,2,72.6,72.79,0
29,male,group_c,8.9,1,64.9,73.21,1
39,female,group_a,6.6,1,59.91,66.71,0
31,male,group_a,0.0,1,63.32,86.12,1
35,female,group_a,6.0,1,64.15,65.54,0
26,female,group_a,0.8,2,71.58,81.18,0
35,female,group_a,11.6,2,61.18,83.2,0
45,female,group_a,6.5,2,72.72,72.88,0
33,male,group_a,2.6,3,73.15,65.32,0
27,male,group_c,8.2,1,63.19,78.37,1
49,female,group_c,3.8,2,97.69,74.29,0
27,female,group_a,7.6,1,69.98,76.7,0
36,male,group_a,6.1,1,75.38,55.93,1
29,male,group_b,2.7,1,72.69,74.57,1
29,female,group_a,7.9,2,69.46,90.33,0
51,female,group_a,2.2,3,79.37,64.09,0
36,female,group_b,9.8,3,87.74,69.99,1
51,male,group_a,6.2,1,70.47,64.72,1
52,male,group_b,3.1,1,61.12,80.38,0
43,female,group_b,0.9,2,77.81,39.26,0
43,female,group_a,10.5,3,45.7,90.39,1
46,female,group_a,10.1,1,73.16,75.23,0
25,non-binary,group_a,2.5,1,69.04,64.92,0
42,non-binary,group_a,10.6,3,75.13,71.91,1
35,female,group_b,6.5,3,53.3,83.83,0
39,female,group_a,5.4,2,66.05,73.28,0
37,male,group_a,5.8,1,59.02,77.47,1
50,female,group_b,5.2,3,64.79,84.9,0
22,male,group_b,10.0,1,78.16,70.49,0
47,female,group_a,6.4,2,68.8,78.48,0
53,female,group_a,0.8,3,64.03,88.72,0
50,female,group_a,11.9,3,85.16,75.99,1
52,male,group_c,8.5,1,71.24,59.5,0
27,male,group_a,2.9,1,47.01,78.93,0
25,male,group_a,5.0,1,58.65,96.59,0
29,male,group_c,3.5,1,75.88,63.73,1
40,female,group_a,6.1,1,76.17,74.5,0
24,female,group_b,7.1,2,73.59,74.16,0
32,male,group_a,6.7,2,74.03,80.51,1
26,female,group_a,4.3,2,60.24,62.48,0
28,female,group_a,3.8,2,69.75,67.92,0
38,male,group_c,8.4,1,56.76,95.43,1
31,female,group_a,5.7,2,60.91,77.85,1
40,female,group_a,12.3,2,59.99,59.6,0
23,male,group_a,3.7,2,60.81,79.2,1
46,male,group_a,8.2,2,66.69,69.09,1
44,female,group_a,6.1,2,68.02,89.63,0
42,non-binary,group_a,3.9,1,61.19,45.8,0
34,male,group_b,9.8,2,83.44,69.62,1
51,female,group_a,6.3,1,65.23,81.89,0
45,female,group_a,3.5,1,88.8,50.59,0
32,female,group_a,5.1,2,82.43,57.86,0
48,male,group_a,8.9,2,56.19,74.85,0
53,male,group_b,2.6,2,81.03,68.76,1
40,non-binary,group_a,9.9,2,53.94,64.03,1
37,male,group_b,7.9,1,87.6,72.51,0
33,male,group_a,5.2,2,74.32,48.93,0
32,female,group_b,9.8,3,58.66,56.58,0
26,male,group_b,10.9,1,44.45,92.3,1
24,female,group_a,7.7,2,65.61,59.28,0
43,male,group_b,6.5,1,54.31,74.31,1
41,female,group_c,11.2,1,83.25,67.52,0
44,male,group_a,10.2,2,55.53,80.19,1
50,female,group_b,3.4,2,67.51,72.82,1
47,male,group_a,5.4,3,76.0,73.86,1
29,male,group_a,5.4,3,70.3,84.42,1
26,male,group_b,4.8,1,73.24,72.74,0
38,male,group_b,1.8,2,67.2,44.65,1
23,male,group_a,8.5,1,78.66,59.09,1
42,female,group_a,6.2,2,59.07,88.04,0
51,male,group_a,6.3,1,76.82,82.98,1
46,male,group_b,10.0,1,55.84,65.05,1
42,non-binary,group_a,4.4,3,72.16,46.21,0
49,female,group_c,5.8,2,56.58,58.36,0
25,female,group_b,6.8,1,67.64,97.12,0
35,male,group_c,4.8,1,76.97,84.87,1
45,male,group_a,5.7,1,84.64,85.2,1
54,male,group_b,8.2,1,48.71,45.91,0
23,male,group_c,6.0,1,60.92,49.46,1
24,male,group_a,9.7,2,58.45,60.08,1
42,female,group_a,3.9,2,84.31,49.47,0
44,male,group_a,6.6,2,59.72,69.8,1
40,male,group_b,2.0,1,78.29,53.11,1
25,female,group_a,5.7,1,63.86,74.81,1
45,male,group_b,4.0,2,52.88,65.16,1
38,male,group_a,9.8,2,71.25,60.48,1
25,female,group_b,8.1,2,56.46,77.27,0
22,male,group_b,7.4,1,78.57,74.44,0
51,female,group_c,11.2,2,79.71,70.04,0
49,male,group_c,10.1,1,85.67,63.18,1
53,female,group_a,8.0,2,57.91,67.54,0
27,female,group_b,4.1,1,88.53,41.55,0
54,female,group_a,1.9,3,81.34,41.1,0
39,male,group_a,5.9,2,48.68,58.85,1
47,female,group_b,5.0,2,96.11,70.13,1
43,female,group_c,4.2,2,89.82,92.6,0
32,male,group_b,5.2,2,57.6,73.7,1
33,male,group_a,1.3,2,73.77,54.54,1
54,male,group_b,10.2,3,53.99,61.49,1
52,non-binary,group_b,2.8,2,68.28,50.72,0
42,non-binary,group_a,4.1,3,72.07,67.6,0
41,male,group_a,7.6,1,77.2,66.95,0
45,non-binary,group_c,1.4,2,60.11,67.67,0
50,male,group_a,8.6,2,69.55,71.93,1
43,female,group_c,8.7,1,58.83,82.57,0
29,male,group_b,5.1,1,74.4,77.64,1
28,female,group_b,3.0,3,77.73,52.23,0
53,male,group_b,4.7,2,70.72,79.85,1
50,male,group_c,0.8,2,83.47,54.19,1
28,female,group_c,9.9,3,78.81,73.47,1
43,male,group_a,6.2,2,74.26,69.51,1
35,male,group_a,3.9,1,83.62,91.41,1
29,male,group_b,3.4,3,55.13,66.8,1
40,female,group_c,7.6,2,69.42,66.88,1
34,female,group_b,10.3,2,48.85,64.41,0
49,female,group_a,2.4,2,69.64,80.09,0
26,female,group_a,4.4,2,64.28,72.5,0
45,female,group_a,1.0,2,79.65,64.54,1
36,female,group_b,7.9,2,64.61,79.73,1
52,female,group_c,6.4,2,62.26,97.29,0
54,female,group_a,12.4,1,68.73,90.69,1
39,male,group_a,5.7,3,68.29,88.95,1
34,male,group_a,4.8,2,75.96,60.87,0
48,female,group_a,4.0,3,59.49,66.99,0
35,male,group_a,8.4,2,52.07,70.51,0
35,female,group_a,1.4,1,50.98,44.78,1
48,female,group_a,8.1,2,83.51,92.02,0
22,male,group_c,6.7,3,54.89,48.45,1
24,non-binary,group_a,4.6,1,64.36,73.82,0
29,male,group_c,3.4,2,56.75,51.26,1
25,female,group_a,9.0,2,80.31,70.03,1
23,male,group_a,11.3,1,63.17,79.7,0
46,non-binary,group_b,4.7,2,84.43,75.5,0
24,female,group_a,7.5,2,61.5,56.46,1
26,female,group_c,11.0,3,73.39,59.35,0
23,male,group_c,4.2,1,78.86,81.12,0
42,female,group_c,5.3,1,81.35,67.43,1
27,female,group_a,2.5,3,55.71,69.93,0
48,female,group_b,5.6,1,65.52,81.24,0
43,non-binary,group_b,5.8,1,68.93,33.69,0
40,male,group_c,4.8,3,48.17,71.85,1
28,male,group_a,3.9,2,78.33,85.73,1
24,female,group_a,1.5,1,74.52,92.91,0
53,female,group_b,2.2,3,75.94,77.79,1
28,male,group_a,3.2,3,53.36,58.24,1
36,female,group_a,7.8,3,72.08,81.67,0
39,male,group_a,4.5,2,75.08,94.15,0
41,female,group_b,3.6,2,82.13,59.57,0
53,female,group_a,7.9,3,63.71,58.43,0
27,male,group_b,7.6,1,77.95,66.3,0
43,female,group_b,3.8,2,93.22,62.7,0
42,male,group_a,4.2,1,64.75,40.28,1
44,non-binary,group_c,7.9,1,65.03,35.8,0
54,male,group_c,7.0,2,66.08,50.34,1
41,male,group_c,3.6,1,52.22,59.67,0
49,female,group_b,6.7,2,65.62,74.33,0
32,female,group_a,5.9,1,89.22,61.09,1
30,female,group_a,9.2,1,58.91,70.79,1
42,male,group_c,3.5,2,67.64,87.17,1
36,female,group_a,8.5,1,84.14,100.0,0
22,female,group_a,7.2,1,76.65,80.4,1
37,non-binary,group_b,3.1,1,72.66,54.91,0
35,male,group_b,9.0,1,65.98,82.03,1
48,male,group_b,8.6,2,68.59,68.3,1
48,female,group_b,2.2,1,70.09,73.05,0
42,female,group_a,11.7,2,78.12,81.6,0
28,male,group_b,2.7,1,70.89,78.99,1
39,female,group_a,3.4,2,81.12,50.27,0
43,male,group_a,5.1,2,47.83,52.64,1
23,male,group_c,8.2,1,79.7,72.0,1
45,female,group_b,7.7,1,63.7,78.01,0
36,male,group_b,5.7,2,70.12,97.3,1
27,male,group_a,9.9,2,64.95,76.58,1
33,female,group_a,7.2,2,77.6,63.29,0
50,female,group_c,10.0,1,68.58,61.62,0
30,female,group_c,14.1,1,77.4,58.52,0
30,female,group_a,6.6,2,60.44,50.45,0
50,male,group_b,0.0,1,72.24,50.34,1
53,female,group_a,4.7,1,84.55,60.67,0
34,female,group_a,2.9,3,83.21,69.6,1
33,female,group_b,6.3,2,65.77,57.7,0
31,female,group_a,6.3,2,71.69,68.45,0
42,male,group_b,2.5,1,65.62,64.4,1
25,female,group_c,2.7,1,68.59,65.11,0
53,male,group_a,5.2,1,70.21,62.27,0
26,female,group_b,5.4,3,84.37,72.22,1
49,male,group_a,0.0,2,76.92,68.48,0
51,male,group_a,8.8,3,87.3,31.85,0
38,female,group_a,6.1,2,88.22,71.88,1
39,female,group_a,6.0,2,55.02,69.69,0
28,male,group_c,6.9,2,73.68,59.85,0
38,female,group_b,3.0,2,64.74,70.56,0
42,male,group_a,5.9,1,50.89,58.69,1
44,female,group_a,9.0,3,57.24,69.9,0
41,female,group_c,9.1,3,64.07,56.21,0
42,male,group_a,7.3,2,89.83,77.58,1
24,female,group_b,5.2,1,71.06,73.0,0
22,male,group_a,3.6,3,67.83,48.31,0
34,male,group_b,9.8,1,69.69,58.61,1
28,female,group_a,7.5,3,61.17,77.86,0
52,female,group_a,4.8,3,72.08,73.79,1
44,female,group_a,0.0,3,68.96,70.12,0
39,female,group_b,3.5,3,50.77,52.65,1
44,female,group_a,0.4,1,63.77,58.86,0
27,female,group_a,9.6,1,100.0,70.44,1
47,male,group_a,6.5,2,77.51,72.26,1
43,male,group_b,3.8,2,68.91,67.98,1
48,male,group_a,5.2,1,77.93,56.79,1
36,male,group_a,13.6,1,58.57,65.05,1
44,male,group_a,9.5,3,71.13,61.39,0
52,non-binary,group_b,2.1,2,80.42,52.24,0
33,male,group_b,5.6,1,51.11,53.1,1
38,male,group_a,2.4,2,61.4,57.07,1
44,male,group_a,1.0,1,65.35,47.57,0
22,female,group_a,6.5,2,66.74,74.6,0
39,non-binary,group_a,13.1,3,64.03,78.7,1
27,female,group_a,10.6,1,73.28,80.3,0
43,male,group_a,6.1,1,82.09,57.47,0
27,male,group_a,4.9,2,74.13,57.83,1
24,female,group_c,6.6,2,82.15,71.54,0
53,male,group_a,9.0,1,82.39,61.71,1
29,female,group_a,1.7,3,63.05,63.84,0
33,male,group_b,0.5,1,73.28,63.83,1
40,female,group_a,11.5,3,65.67,46.06,0
33,male,group_a,6.8,1,77.83,85.47,0
40,male,group_c,10.7,1,65.97,48.44,1
54,male,group_a,6.7,3,67.9,46.53,1
23,male,group_a,10.4,2,90.07,79.1,1
28,female,group_c,4.2,2,68.0,53.07,0
34,female,group_c,7.5,1,51.75,82.73,0
42,male,group_c,10.6,2,71.5,72.74,1
38,female,group_a,9.0,2,73.58,72.93,0
53,male,group_b,4.6,2,64.15,62.85,1
27,male,group_b,8.6,2,70.93,48.71,1
52,female,group_a,4.0,2,82.1,51.82,0
24,male,group_c,1.8,1,64.02,69.44,1
27,male,group_a,7.5,1,67.91,66.56,0
36,female,group_b,10.1,3,61.79,51.53,0
37,female,group_a,8.5,3,74.0,52.44,0
53,male,group_a,2.3,1,68.65,56.18,1
30,female,group_a,8.6,3,59.28,67.18,0
37,female,group_c,8.0,2,68.3,74.02,0
45,male,group_a,4.6,1,91.6,80.35,1
42,male,group_c,0.0,1,50.11,62.95,1
30,female,group_a,9.0,2,53.89,87.58,0
26,male,group_a,8.6,1,74.09,77.82,0
27,female,group_a,7.5,1,53.87,88.17,0
35,male,group_c,0.9,3,93.04,56.07,1
30,female,group_a,1.6,2,52.66,75.92,0
39,male,group_c,9.0,1,54.84,82.85,0
26,male,group_a,8.4,3,64.12,43.87,0
23,female,group_c,7.5,3,82.81,80.6,1
45,female,group_b,5.3,3,79.56,73.65,1
45,male,group_a,7.2,1,76.83,80.54,1
31,non-binary,group_a,4.4,1,73.64,70.36,0
35,male,group_a,5.1,1,85.4,83.63,0
35,male,group_a,3.4,1,48.84,62.27,1
24,male,group_a,6.8,1,73.4,60.93,1
31,male,group_b,4.8,1,86.92,77.81,1
30,male,group_a,8.8,1,57.64,77.86,0
34,female,group_a,8.1,1,73.91,49.72,0
44,female,group_a,3.6,2,84.5,84.37,0
32,male,group_c,11.5,3,84.82,84.01,1
41,male,group_a,2.7,1,68.57,82.01,1
33,male,group_a,7.3,2,91.98,58.12,1
38,female,group_a,9.2,1,76.09,85.17,0
45,male,group_a,9.8,1,82.71,75.05,1
40,female,group_a,0.0,2,57.62,80.62,0
27,female,group_a,9.0,3,61.32,67.32,1
54,female,group_a,9.6,3,61.27,62.18,0
44,female,group_a,10.3,3,90.85,58.45,1
42,female,group_b,0.0,3,42.86,59.7,0
33,male,group_a,4.0,3,48.68,80.21,0
32,male,group_a,5.7,2,79.51,57.54,1
25,male,group_a,4.7,1,71.89,59.66,0
36,male,group_a,10.0,3,35.53,72.49,0
25,male,group_b,4.0,2,65.53,64.45,1
36,male,group_a,9.7,2,66.59,40.18,1
51,female,group_a,7.7,3,84.33,59.11,1
52,male,group_a,1.6,1,47.79,63.11,1
23,male,group_a,3.0,2,63.97,89.87,1
40,male,group_b,4.6,2,82.63,77.06,1
31,male,group_a,6.3,2,79.1,54.47,0
27,non-binary,group_a,9.0,1,59.43,53.07,1
50,male,group_a,5.5,3,66.83,61.83,1
25,male,group_b,8.7,1,52.93,71.09,1
24,male,group_a,1.3,1,86.14,57.44,1
25,male,group_b,0.0,2,65.18,73.92,0
28,male,group_c,5.0,3,85.06,48.95,1
31,male,group_a,7.4,1,79.55,72.48,1
30,male,group_a,4.9,1,59.86,84.16,1
29,male,group_b,3.0,2,68.51,31.96,0
49,female,group_a,7.3,3,77.78,67.62,0
48,male,group_a,11.8,1,75.38,71.45,1
25,female,group_a,5.7,1,88.03,74.1,1
27,male,group_b,3.8,2,83.27,69.37,1
53,male,group_c,3.5,2,74.03,67.11,1
46,female,group_c,11.9,2,78.3,71.85,0
25,male,group_a,5.9,1,61.96,69.49,1
26,female,group_a,7.8,2,63.3,69.23,0
40,female,group_c,9.7,1,77.29,89.36,0
22,female,group_b,9.2,2,74.18,81.9,0
47,male,group_c,3.2,1,57.36,80.53,1
