age,gender,caste,income,zip_code,education,loan_amount,credit_score,approved
46,female,general,86359.37,101-587,graduate,32409.86,602.0,0
30,male,st,73207.04,400-244,graduate,44347.82,662.11,1
21,male,general,94335.04,101-449,postgraduate,30991.54,722.84,1
26,male,obc,115201.68,201-220,graduate,14118.26,,1
28,female,obc,66205.67,202-426,postgraduate,43358.05,676.48,0
61,female,general,72232.5,102-459,postgraduate,34494.88,,0
28,female,sc,49798.45,300-200,high_school,6952.56,725.45,0
28,female,general,76618.71,102-153,graduate,15727.39,701.92,1
57,male,obc,90445.0,202-892,graduate,20575.97,717.59,1
59,female,obc,37350.56,201-897,graduate,32542.88,727.91,0
30,male,obc,86026.74,202-102,postgraduate,3584.91,667.48,1
49,male,general,78435.5,100-676,graduate,23927.99,735.18,1
44,female,general,68571.37,102-184,graduate,32029.44,647.56,1
46,male,general,82164.25,102-828,graduate,2000.0,714.41,1
34,female,general,73693.8,100-890,high_school,31720.83,571.6,0
54,female,general,67626.69,101-654,high_school,32802.49,638.95,1
59,female,st,36527.87,400-651,graduate,17380.13,807.37,0
52,female,obc,56104.47,201-433,graduate,14620.41,713.6,1
60,female,obc,71687.88,202-324,graduate,17239.36,713.62,1
25,male,general,111071.9,100-548,graduate,2000.0,,1
49,male,general,82366.1,102-220,high_school,22064.29,619.82,1
64,male,obc,75635.83,202-704,postgraduate,26976.37,665.46,0
44,male,general,122313.79,102-522,postgraduate,14025.97,676.31,1
62,male,general,94863.25,100-259,high_school,33748.45,785.3,1
36,female,obc,64280.57,201-628,postgraduate,25923.1,736.04,1
60,male,obc,80648.53,202-814,graduate,27340.16,,0
62,male,st,85013.08,401-629,postgraduate,21382.03,683.61,0
48,male,general,119011.34,100-576,graduate,31687.4,721.7,1
52,male,obc,94561.11,202-862,graduate,36615.05,607.47,1
44,female,general,81909.49,102-109,high_school,21332.33,574.33,1
34,female,general,67405.77,101-654,graduate,31849.29,720.89,1
44,female,obc,48638.76,200-468,postgraduate,31948.25,,0
63,female,general,57434.69,100-274,graduate,28760.84,607.83,1
21,male,obc,75350.77,200-980,graduate,40093.49,564.78,1
30,female,general,70049.01,102-463,postgraduate,18461.59,729.16,1
42,male,general,112134.44,100-401,high_school,21206.07,651.31,1
35,male,st,84254.15,400-251,postgraduate,18007.37,702.01,0
48,male,general,90691.05,101-996,graduate,31525.19,665.49,1
36,female,sc,44445.04,301-869,graduate,22547.62,678.12,0
49,male,general,99976.24,102-162,postgraduate,18738.26,647.43,1
25,male,st,64666.15,401-608,postgraduate,39968.33,675.79,1
35,male,general,79122.58,100-232,high_school,41285.55,711.74,1
51,male,general,107602.29,101-743,postgraduate,22041.76,664.83,1
41,female,sc,51611.71,300-535,high_school,12693.33,661.69,0
52,male,general,90835.64,100-199,high_school,41771.66,713.41,1
48,male,general,92633.08,101-600,graduate,29236.57,717.08,0
35,male,st,92162.19,401-918,postgraduate,28786.5,617.44,0
39,female,obc,65317.04,200-406,high_school,25945.01,678.41,0
63,male,obc,80596.86,202-145,high_school,17797.14,651.19,1
63,male,obc,81100.71,202-949,graduate,21280.43,,1
22,male,sc,80768.45,300-227,postgraduate,31099.48,758.87,0
52,non-binary,sc,69231.08,301-527,graduate,20971.96,699.74,0
42,female,obc,62502.86,202-589,high_school,28896.85,,0
21,female,general,65257.14,101-313,high_school,25120.29,692.08,1
48,male,general,95647.97,100-259,high_school,15488.02,,1
22,non-binary,obc,71992.86,200-201,graduate,39590.18,678.92,0
35,female,sc,44574.64,301-162,graduate,30346.3,687.84,0
51,female,obc,78498.71,201-556,high_school,27975.83,,0
56,male,general,88247.64,100-856,postgraduate,29995.19,625.44,1
39,male,general,96809.09,101-213,high_school,8863.97,667.18,1
56,male,obc,62155.31,200-729,graduate,20561.38,640.16,0
57,female,sc,52487.56,301-470,high_school,11254.3,736.63,0
40,male,general,79605.75,101-131,postgraduate,26122.18,574.09,1
28,male,obc,77293.7,200-581,graduate,27933.21,688.63,1
50,male,sc,117410.6,300-326,graduate,26272.05,596.5,0
21,female,st,57493.36,400-644,high_school,35607.3,703.77,0
60,male,general,112164.31,100-414,graduate,11523.83,658.06,1
38,female,st,65974.25,400-699,high_school,17806.74,580.08,0
54,female,obc,76765.4,200-925,postgraduate,28729.13,731.82,0
53,female,sc,52713.0,301-319,postgraduate,27375.43,541.6,1
41,male,general,117489.63,102-944,graduate,13161.12,,1
63,female,obc,74853.62,200-283,high_school,35768.77,,0
56,female,obc,63578.69,200-163,high_school,38889.0,755.72,0
59,female,general,70686.05,102-273,high_school,28830.28,591.44,1
25,male,obc,89085.75,201-832,high_school,11418.36,,0
42,male,obc,91731.35,201-709,postgraduate,26437.53,739.6,0
62,male,obc,90389.59,200-972,high_school,28063.08,743.32,1
56,male,general,100341.47,100-738,postgraduate,22553.42,750.44,1
40,male,obc,115359.63,201-470,postgraduate,37125.2,820.89,0
24,male,general,78127.0,102-902,graduate,23956.55,,1
33,male,st,97992.97,400-961,graduate,43940.88,700.48,0
46,female,st,48844.72,400-811,high_school,32048.05,660.98,1
49,male,general,112775.28,102-600,graduate,27484.72,571.37,1
61,female,general,62331.76,102-842,high_school,33283.85,675.05,0
25,female,general,72778.55,101-260,high_school,38777.97,570.31,1
38,male,obc,88776.18,201-909,graduate,33091.47,651.35,0
32,female,sc,31271.71,300-998,graduate,24317.48,599.25,0
63,male,obc,115345.68,200-697,postgraduate,19060.72,704.14,1
28,non-binary,general,63301.45,101-276,graduate,14901.03,637.18,1
30,male,general,96174.36,101-229,high_school,3033.53,581.81,1
34,female,general,52266.09,101-962,postgraduate,26568.1,727.61,0
25,male,sc,64781.98,300-883,postgraduate,21510.97,646.79,0
49,male,obc,88130.84,202-773,postgraduate,21992.84,656.23,1
44,male,obc,82690.84,200-953,postgraduate,34259.72,626.22,0
45,female,general,50636.59,100-552,graduate,23991.35,,1
60,female,st,53503.94,400-898,graduate,42055.93,,0
40,male,general,74253.31,102-246,graduate,19842.1,646.28,1
34,male,sc,85256.63,301-264,high_school,16261.44,574.73,1
37,male,sc,81717.42,300-560,graduate,13681.27,818.08,0
56,female,obc,28274.32,202-398,graduate,31504.76,,0
44,male,sc,76176.46,300-488,graduate,35363.37,759.37,1
28,male,general,101557.74,102-817,graduate,19650.45,641.33,1
51,female,obc,48110.36,200-148,graduate,15424.16,652.45,1
53,female,general,74165.09,102-748,high_school,38772.49,702.04,1
31,male,obc,97057.51,201-179,graduate,11946.38,,1
45,female,general,52751.9,100-861,postgraduate,34091.98,625.58,1
45,male,general,94828.05,100-281,graduate,19861.17,760.22,1
28,female,general,78549.88,101-760,postgraduate,28573.86,676.97,1
21,male,general,82730.09,102-632,graduate,34692.3,,1
52,female,obc,60118.65,201-446,high_school,29286.31,732.4,1
48,female,obc,79103.35,200-340,high_school,22342.7,648.44,1
52,female,general,54993.15,100-151,graduate,37564.88,571.14,1
37,male,st,88428.22,401-417,high_school,27601.91,617.59,0
43,female,st,38891.32,401-280,graduate,58142.59,651.59,0
64,male,general,92746.53,101-222,postgraduate,9653.61,692.1,1
30,male,general,101254.17,102-763,high_school,9520.66,689.45,1
49,female,obc,29336.62,200-291,graduate,33948.35,747.53,1
26,male,obc,83519.48,202-300,graduate,24714.24,666.96,1
23,female,general,73010.65,100-406,graduate,32133.48,654.39,1
63,female,sc,58661.82,301-515,postgraduate,15114.57,748.48,0
26,male,general,87686.7,100-561,graduate,25487.19,733.83,1
49,non-binary,general,61035.85,101-697,high_school,29115.86,668.26,1
43,male,obc,99798.51,201-629,graduate,20106.6,696.06,0
56,male,obc,86486.31,201-533,high_school,27086.47,653.86,0
45,male,sc,91134.86,300-454,graduate,12746.26,616.08,0
51,female,general,72323.12,102-338,postgraduate,28553.41,800.85,1
60,male,general,88736.14,102-738,graduate,38009.03,650.2,1
57,male,general,110015.86,101-385,graduate,13861.8,,1
52,male,general,86680.11,101-863,graduate,13318.42,596.66,1
28,non-binary,general,93166.36,100-626,postgraduate,35709.29,,1
28,female,obc,81498.1,202-669,graduate,13159.26,613.68,1
42,female,obc,77701.61,200-557,postgraduate,32565.41,,0
49,female,obc,60472.14,200-934,high_school,25498.14,778.86,0
50,female,general,102659.11,101-479,graduate,21239.6,711.11,1
55,male,general,97125.82,102-483,graduate,38198.72,686.32,1
25,male,obc,94374.79,200-902,graduate,33353.33,,1
28,female,general,66691.14,101-643,graduate,27517.44,677.39,1
27,female,sc,39683.27,300-503,postgraduate,5626.0,702.51,1
44,male,general,113131.03,101-335,high_school,31410.28,684.94,1
48,male,obc,82986.35,201-320,graduate,15362.26,733.99,1
26,female,sc,68374.55,300-820,graduate,23007.56,629.49,0
59,male,obc,107233.74,202-351,postgraduate,25066.01,,1
34,female,obc,71446.5,200-105,graduate,42075.5,656.75,0
50,male,obc,81312.43,201-117,postgraduate,22720.82,638.98,1
54,male,general,90224.9,100-979,high_school,12195.05,699.94,1
22,female,obc,25520.93,202-603,graduate,38226.79,703.46,0
59,male,sc,81869.45,301-539,postgraduate,31531.59,584.48,0
63,male,st,93237.94,401-925,high_school,31866.78,653.54,0
63,female,obc,59674.93,200-416,postgraduate,38395.76,560.54,0
27,female,general,58738.88,100-814,high_school,40508.88,642.84,1
38,male,sc,79331.54,301-748,high_school,16974.39,645.2,0
31,male,obc,108015.12,201-528,postgraduate,12481.09,696.36,1
40,female,general,66238.88,100-796,postgraduate,32582.22,636.67,1
63,non-binary,general,102510.83,102-968,high_school,22637.79,649.69,1
54,male,general,87009.73,101-280,postgraduate,23454.0,751.71,1
54,male,obc,94041.24,201-115,postgraduate,14904.98,793.53,0
39,male,general,88932.37,100-838,graduate,30255.07,629.35,1
62,male,general,124042.81,102-462,high_school,28619.18,736.06,1
61,male,general,97515.87,101-589,graduate,23600.52,,1
56,female,st,83793.07,400-299,graduate,12504.92,584.37,0
56,male,general,89118.21,100-856,graduate,35882.35,636.49,1
49,male,general,116386.11,101-748,graduate,27301.34,513.47,1
25,female,obc,64652.05,200-957,postgraduate,35060.59,697.8,1
33,female,general,78713.18,102-527,graduate,6072.89,620.78,1
54,male,st,64924.05,400-977,postgraduate,25511.41,687.37,1
35,female,st,58877.8,401-559,postgraduate,18547.91,821.4,0
28,female,general,52032.31,100-658,graduate,25325.33,767.62,1
62,female,obc,66599.35,201-706,graduate,33488.9,637.81,0
42,male,general,73742.54,102-540,postgraduate,28329.53,624.52,1
58,male,general,93682.84,100-605,high_school,25163.1,751.11,1
33,female,general,82338.57,102-300,graduate,25115.02,,1
36,male,general,102665.75,102-425,graduate,10962.11,734.51,1
36,male,general,77724.7,102-731,graduate,16840.89,830.47,1
37,male,obc,64422.59,200-135,graduate,35091.59,717.15,1
40,female,general,73957.22,102-729,graduate,20450.17,745.12,1
34,non-binary,general,98636.78,101-373,high_school,35263.77,738.74,1
56,male,obc,77504.76,200-344,graduate,32437.34,649.36,1
35,female,obc,92363.66,201-723,graduate,32912.85,695.96,0
40,male,general,94909.09,100-293,high_school,27996.23,627.4,1
58,female,general,39578.29,100-964,postgraduate,21075.93,750.95,1
40,female,general,45147.68,101-990,graduate,23639.63,620.32,1
21,male,general,105779.29,100-511,postgraduate,30763.47,718.55,1
21,male,sc,85313.95,300-460,high_school,5869.47,742.24,0
40,male,st,102751.09,400-171,graduate,36193.99,652.96,0
49,non-binary,general,59726.25,100-799,graduate,20498.93,640.35,0
62,female,general,68658.93,101-246,high_school,24223.44,,1
26,female,obc,63094.65,201-938,high_school,24301.04,630.92,0
44,female,obc,60997.8,201-990,high_school,24641.51,688.6,1
33,male,general,89643.5,100-210,graduate,13177.22,629.57,1
40,female,general,61922.21,101-714,high_school,26365.53,633.55,1
40,male,obc,93445.04,202-518,graduate,30349.28,710.08,1
34,male,obc,95236.13,200-586,high_school,6599.94,713.97,1
21,female,general,70536.02,100-261,high_school,13292.93,663.86,1
24,female,general,83883.83,100-750,graduate,33062.79,589.45,1
43,male,general,78182.1,101-249,graduate,31388.17,744.4,1
30,female,general,41636.43,101-895,postgraduate,27688.67,655.34,1
35,female,obc,77237.51,202-508,high_school,18860.67,793.43,0
24,female,obc,49790.65,200-670,graduate,31440.51,672.72,0
23,female,obc,57687.34,201-928,high_school,14173.89,687.47,0
26,male,general,86430.61,101-763,graduate,23763.98,656.25,1
37,male,general,86130.83,101-586,graduate,13241.56,693.39,1
28,male,sc,63084.3,300-462,graduate,23541.98,850.0,0
31,female,obc,55026.61,200-515,high_school,15726.48,660.81,1
34,female,general,76090.64,102-407,graduate,31802.3,,1
33,male,general,94944.96,101-950,postgraduate,28898.64,,1
21,male,sc,90563.1,300-327,graduate,19864.82,744.56,0
26,male,sc,76554.85,300-468,high_school,34812.69,573.75,0
62,female,sc,68139.84,300-799,high_school,16393.16,786.97,0
50,female,obc,55882.93,201-427,graduate,24682.44,698.76,0
26,male,obc,61480.2,201-897,graduate,19466.61,665.27,1
33,male,obc,95432.73,202-318,graduate,31681.35,,1
37,female,general,77743.39,100-128,graduate,30790.98,687.92,1
60,male,obc,83170.65,201-665,high_school,36717.61,616.87,1
59,female,obc,79788.89,200-556,postgraduate,25746.86,546.72,1
54,male,general,83090.31,101-938,graduate,2000.0,780.43,1
25,male,sc,92890.18,301-480,high_school,21122.18,667.74,0
42,female,general,91426.86,101-221,postgraduate,39087.34,646.29,1
42,male,general,95514.23,101-396,graduate,22075.05,650.56,1
49,male,general,91829.24,100-453,graduate,7742.17,760.55,1
58,male,sc,82020.6,301-624,graduate,29043.99,653.04,0
35,male,st,104796.14,401-346,postgraduate,29716.53,715.44,0
45,male,obc,96638.96,202-594,graduate,18455.21,661.6,1
32,male,st,112018.84,401-916,postgraduate,22779.26,610.99,0
30,male,sc,87409.52,301-480,graduate,17374.34,729.57,1
34,male,sc,74346.85,301-685,postgraduate,29703.13,740.67,0
53,female,sc,47330.9,301-305,graduate,25509.4,642.64,1
40,female,general,67862.5,102-820,postgraduate,14508.02,677.92,1
50,male,sc,54921.48,300-342,graduate,24914.11,685.34,0
51,male,obc,84350.14,200-621,graduate,18402.78,704.48,1
36,male,obc,84660.83,200-369,graduate,38149.55,788.42,1
63,female,general,70357.06,100-160,postgraduate,33043.28,662.19,1
23,female,obc,90185.46,201-387,high_school,23899.49,661.85,0
60,male,st,82767.43,401-290,graduate,25729.58,670.36,0
21,male,general,68082.77,100-902,high_school,34123.99,628.18,1
37,male,st,69205.29,401-339,postgraduate,23437.51,585.28,1
57,male,general,98672.03,100-976,postgraduate,31825.53,687.36,1
51,female,general,68301.93,102-542,postgraduate,38296.48,709.0,1
35,male,general,117742.38,102-298,graduate,20582.06,680.13,1
59,male,sc,96941.08,300-451,high_school,39815.31,676.55,0
27,male,obc,104021.62,202-264,high_school,37196.05,630.57,1
50,female,general,63960.14,101-849,high_school,27237.03,693.88,1
43,male,obc,106387.69,200-207,graduate,21004.79,689.34,1
30,female,general,54457.08,102-885,postgraduate,27125.0,706.12,0
61,male,obc,104556.12,201-141,graduate,22799.49,697.8,0
54,female,sc,51546.14,301-369,postgraduate,17865.05,701.66,0
21,male,obc,70728.09,201-225,graduate,29790.48,752.53,1
24,female,sc,63805.31,301-716,graduate,15788.28,711.47,1
23,female,obc,82565.61,201-560,postgraduate,21953.01,706.43,0
39,non-binary,st,57807.57,400-944,high_school,22071.38,584.16,1
39,female,general,88878.66,100-429,graduate,12712.66,737.94,1
52,female,general,43816.83,102-136,postgraduate,30926.25,663.62,1
50,female,general,50244.89,100-784,postgraduate,22944.96,684.36,1
21,female,obc,60945.84,201-620,high_school,36689.59,,1
41,male,obc,85809.31,201-843,postgraduate,22798.12,794.94,0
55,female,obc,53660.13,201-483,graduate,21340.64,543.92,0
60,male,general,96871.49,101-763,graduate,16858.22,761.85,1
33,female,general,59599.73,101-253,postgraduate,25351.26,703.38,1
22,male,obc,85974.35,201-998,graduate,25402.1,575.21,1
27,male,st,85897.95,400-256,high_school,31675.9,792.0,0
35,female,general,57654.48,102-845,high_school,25603.17,708.26,1
40,male,general,93515.75,100-290,high_school,43845.26,550.29,1
36,male,general,85962.45,102-803,graduate,29105.96,656.76,0
24,male,obc,74121.31,202-874,high_school,16118.47,709.4,1
35,male,general,105691.83,101-888,postgraduate,15356.71,774.23,1
33,male,general,118909.12,101-527,graduate,29813.18,657.49,1
42,male,obc,105904.01,201-485,graduate,15835.05,534.42,1
24,male,general,99644.03,101-849,graduate,30353.6,760.25,1
55,male,general,86018.6,102-620,graduate,33060.75,707.4,0
39,male,general,90983.14,100-658,high_school,33277.68,,1
34,female,st,68798.3,400-312,high_school,17177.31,698.85,0
60,male,general,63059.19,102-501,graduate,33293.24,704.67,1
53,non-binary,general,71414.36,102-432,postgraduate,27903.3,662.14,1
27,female,general,77277.62,101-698,graduate,19529.16,634.5,1
27,male,obc,75064.07,202-276,graduate,23565.39,646.46,0
21,male,sc,89427.44,301-464,graduate,29241.52,662.11,1
45,female,general,72277.85,101-863,postgraduate,18944.34,699.51,0
36,female,general,46639.35,100-591,postgraduate,27716.74,723.36,1
37,female,general,68217.69,101-905,high_school,38010.42,,1
43,female,obc,54355.77,200-309,high_school,33676.51,694.08,0
44,female,st,59825.38,400-495,graduate,25737.88,706.84,0
21,female,obc,72377.04,200-549,high_school,27107.28,689.3,1
25,male,general,100585.15,100-460,graduate,20157.43,657.73,1
55,female,sc,56516.29,301-715,graduate,20410.93,758.09,0
62,male,sc,87544.2,300-233,postgraduate,11165.23,753.94,0
57,female,general,50535.09,100-566,graduate,27259.99,659.86,1
60,female,general,66569.48,102-224,graduate,31142.49,675.43,1
41,male,general,83849.23,100-665,graduate,24362.41,722.45,1
57,female,sc,69941.54,301-846,graduate,17104.08,750.54,0
59,male,obc,100565.33,201-117,high_school,25595.16,635.15,1
60,female,obc,72525.62,201-510,graduate,37075.88,622.46,0
27,male,sc,107488.88,300-542,postgraduate,33081.83,,1
27,female,general,62380.32,101-747,high_school,24734.73,618.2,1
38,male,general,87313.9,100-167,postgraduate,43426.87,573.03,1
43,non-binary,general,71549.56,100-465,graduate,49288.45,634.88,1
63,female,sc,33068.69,301-806,high_school,20678.72,702.94,0
34,female,obc,41669.84,201-578,graduate,22787.04,765.45,1
57,female,general,75695.44,102-774,graduate,31239.98,641.02,1
60,female,general,47468.04,102-427,postgraduate,16783.21,673.17,1
63,non-binary,obc,57451.22,200-927,graduate,32642.21,688.55,0
29,male,sc,82075.92,301-169,high_school,25913.21,644.33,0
31,female,obc,57228.81,201-181,graduate,28344.75,640.01,0
30,male,general,107399.13,102-575,postgraduate,19821.06,698.42,1
53,female,st,54846.46,401-523,high_school,17910.67,614.14,0
51,male,sc,72321.44,300-673,high_school,7130.81,637.79,1
38,female,obc,76602.86,201-305,graduate,38363.03,668.86,1
24,female,obc,73203.08,202-303,graduate,33473.02,697.74,1
43,male,st,62246.23,401-773,high_school,31060.23,,0
53,female,st,57531.73,400-362,postgraduate,28134.94,672.81,0
41,female,obc,52988.92,200-753,graduate,4261.95,609.0,1
32,female,general,56619.87,100-675,graduate,18240.09,642.37,1
47,male,general,121173.21,101-174,high_school,22695.27,723.37,1
50,female,sc,57239.8,301-739,postgraduate,15267.88,675.94,1
47,female,obc,59954.46,200-890,postgraduate,9758.3,771.8,0
59,male,general,96189.32,102-834,high_school,16203.73,676.03,1
34,male,general,107239.36,100-107,graduate,25442.29,733.24,1
47,male,st,72177.54,400-585,graduate,25444.59,723.71,1
58,female,sc,48068.1,301-921,postgraduate,33167.71,679.27,0
30,male,st,91193.4,401-638,high_school,43568.62,607.64,0
33,female,obc,41770.55,201-361,graduate,31171.85,674.22,0
23,female,sc,69370.81,300-274,postgraduate,23420.05,650.7,0
37,male,sc,61027.48,300-715,graduate,41202.94,648.57,1
22,female,general,63559.26,101-793,graduate,10762.57,688.57,1
53,female,general,44616.34,100-920,high_school,6290.41,600.27,0
24,male,st,67212.48,401-914,graduate,17019.49,631.94,0
51,male,general,113167.34,101-405,graduate,32309.69,624.34,1
46,male,obc,105622.41,201-642,high_school,26517.04,666.02,1
64,male,obc,107118.51,200-191,graduate,14845.09,637.75,1
36,male,obc,70714.16,201-184,graduate,18456.15,641.37,0
36,female,general,52285.21,100-164,high_school,13826.65,687.45,1
31,male,obc,95758.22,201-933,graduate,13826.42,655.49,1
44,male,general,105014.44,101-237,postgraduate,38959.52,680.26,1
30,female,sc,44306.81,301-533,graduate,23709.09,,0
25,female,general,58895.1,101-489,graduate,40926.24,634.44,0
62,female,obc,47161.13,201-391,postgraduate,16989.87,792.25,1
50,female,sc,78715.43,301-583,graduate,29420.13,641.64,0
26,male,general,88350.62,100-102,high_school,27043.74,564.15,1
48,male,general,95438.09,102-441,high_school,32917.13,698.82,1
34,non-binary,sc,66171.02,300-530,high_school,27290.94,641.06,1
28,female,general,82478.69,101-822,graduate,33865.75,693.41,1
41,non-binary,general,63165.47,101-730,graduate,29987.78,675.08,1
55,male,obc,107355.65,201-863,high_school,15178.55,710.24,1
21,female,st,36097.91,400-438,postgraduate,31594.43,,1
36,female,obc,79320.08,202-226,high_school,24072.11,667.54,0
61,male,general,70985.81,101-460,high_school,18009.52,743.14,1
38,female,st,52536.22,401-965,graduate,31245.8,558.0,0
25,female,obc,85756.12,200-292,graduate,33294.03,607.1,1
39,male,obc,100761.59,202-257,postgraduate,20647.91,634.62,0
51,male,general,100897.39,101-948,postgraduate,21844.92,586.89,1
64,female,general,52322.19,102-953,graduate,12515.92,653.63,1
48,male,general,84712.78,100-234,postgraduate,8757.46,648.21,1
23,male,obc,109821.54,200-791,high_school,22819.23,,1
56,male,general,101612.75,100-486,graduate,32128.49,675.15,1
55,male,obc,103463.49,202-542,graduate,19840.61,668.28,0
49,female,general,68033.11,102-548,high_school,37850.14,,1
60,female,general,63055.76,101-970,high_school,23154.33,,1
54,male,general,105733.26,101-266,high_school,23190.92,728.99,1
31,non-binary,obc,76130.94,201-794,graduate,22398.17,746.55,0
39,female,obc,60620.56,202-105,high_school,33834.33,613.33,1
43,male,general,75203.9,100-665,high_school,16369.8,769.1,1
42,female,general,80354.72,102-686,high_school,23839.36,643.1,1
49,male,general,101160.37,101-777,graduate,20073.65,638.61,1
51,non-binary,sc,56512.33,301-932,graduate,19945.89,706.0,0
25,female,general,83509.54,101-777,postgraduate,25316.39,710.91,1
46,female,sc,58913.37,300-758,graduate,23980.09,676.08,0
22,male,general,98687.58,102-328,graduate,34465.04,,1
43,female,general,79374.54,100-992,high_school,24903.03,744.48,1
39,male,obc,100361.89,200-521,graduate,29995.05,645.72,1
30,male,obc,95111.44,200-475,high_school,26554.8,676.22,1
64,male,general,92359.81,102-551,postgraduate,37633.83,773.16,1
32,female,st,81771.3,400-454,high_school,22278.54,606.46,0
23,male,general,84726.79,100-633,graduate,22303.86,654.77,1
36,female,general,77443.61,100-414,postgraduate,31705.35,736.38,0
54,female,general,65825.97,100-315,postgraduate,22155.97,,1
21,male,obc,97365.99,200-934,high_school,29485.53,729.17,1
42,male,sc,100767.93,301-934,graduate,46041.23,,0
39,male,general,90637.9,102-546,graduate,16189.43,697.66,1
59,female,st,62425.71,400-964,high_school,38785.03,664.31,0
21,female,obc,66717.8,202-473,graduate,20570.14,804.98,0
21,male,st,73021.78,400-448,postgraduate,37039.11,724.52,0
45,female,sc,73113.39,300-924,graduate,31174.41,678.77,0
28,male,st,91956.63,400-668,graduate,30402.95,695.72,1
51,female,obc,56916.3,202-785,postgraduate,23641.33,682.99,1
33,female,general,82450.31,100-471,postgraduate,22745.47,718.45,1
45,female,obc,51360.12,201-465,postgraduate,18501.93,632.9,0
22,female,obc,62594.92,200-174,postgraduate,25056.48,755.09,0
51,female,obc,56990.87,200-969,high_school,23344.8,607.14,0
43,male,obc,101518.37,201-304,high_school,26719.16,691.28,1
21,male,general,88284.43,102-544,graduate,12304.1,634.66,1
32,male,sc,94118.76,300-203,graduate,25203.81,682.36,0
23,male,general,103322.44,101-681,graduate,36363.88,734.34,1
22,female,st,48746.51,401-451,high_school,33496.44,585.82,1
51,female,general,92616.05,101-790,graduate,25207.02,670.68,1
39,female,general,56566.71,102-575,postgraduate,48061.76,,1
56,male,sc,63773.8,300-216,graduate,19803.82,664.63,0
32,female,sc,67485.39,300-109,postgraduate,24219.95,600.67,0
52,male,obc,60908.29,201-290,high_school,11945.37,688.9,1
48,male,st,102885.44,400-751,postgraduate,21367.28,656.56,1
50,female,general,68424.55,100-844,postgraduate,41090.33,721.09,1
57,non-binary,sc,45022.21,300-406,graduate,21710.67,747.57,1
52,female,general,53721.5,100-581,postgraduate,11249.52,,0
53,male,obc,68122.76,200-315,graduate,32847.99,729.15,1
53,female,obc,68360.36,202-891,high_school,28502.89,756.04,0
40,male,general,76423.2,101-967,graduate,32475.81,629.28,1
52,female,obc,70029.25,202-776,graduate,22326.54,758.92,0
